date,open,high,low,close,volume
2025-05-30,4.63,4.67,4.54,4.56,15264700.0
2025-06-03,4.54,4.62,4.54,4.54,12734300.0
2025-06-04,4.55,4.59,4.53,4.56,13105599.0
2025-06-05,4.58,4.64,4.55,4.59,18639700.0
2025-06-06,4.58,4.59,4.51,4.52,13701223.0
2025-06-09,4.56,4.96,4.54,4.88,61623631.0
2025-06-10,4.87,4.89,4.73,4.81,30748498.0
2025-06-11,4.8,4.86,4.77,4.81,16960500.0
2025-06-12,4.82,4.89,4.79,4.84,21587500.0
2025-06-13,4.8,4.83,4.58,4.6,27442000.0
2025-06-16,4.59,4.99,4.56,4.9,45448686.0
2025-06-17,4.9,4.92,4.77,4.79,21211900.0
2025-06-18,4.79,4.79,4.68,4.73,16278200.0
2025-06-19,4.72,4.88,4.64,4.88,39539107.0
2025-06-20,4.81,4.95,4.7,4.71,27732600.0
2025-06-23,4.7,4.95,4.7,4.93,42074443.0
2025-06-24,4.93,5.15,4.92,5.04,41010600.0
2025-06-25,5.04,5.06,4.9,4.98,28492100.0
2025-06-26,4.99,5.06,4.94,4.96,26781068.0
2025-06-27,4.94,5.07,4.93,5.01,21598007.0
2025-06-30,4.86,4.92,4.8,4.86,42244897.0
2025-07-01,4.86,4.87,4.76,4.81,28825770.0
2025-07-02,4.79,4.8,4.7,4.73,20874421.0
2025-07-03,4.74,4.8,4.7,4.73,19868513.0
2025-07-04,4.72,4.73,4.66,4.66,19924913.0
2025-07-07,4.65,4.71,4.61,4.66,15941113.0
2025-07-08,4.66,4.71,4.65,4.7,14106261.0
2025-07-09,4.7,4.8,4.69,4.76,25336535.0
2025-07-10,4.74,4.85,4.73,4.77,18237872.0
2025-07-11,4.77,4.92,4.74,4.8,30429900.0
2025-07-14,4.78,4.78,4.66,4.68,21991089.0
2025-07-15,4.67,4.68,4.51,4.59,24747994.0
2025-07-16,4.58,4.7,4.56,4.64,17410493.0
2025-07-17,4.69,4.89,4.65,4.76,38237569.0
2025-07-18,4.75,4.81,4.69,4.72,20157150.0
2025-07-21,4.75,4.8,4.7,4.78,20123823.0
2025-07-22,4.79,4.83,4.74,4.77,16035325.0
2025-07-23,4.76,4.85,4.73,4.74,20976600.0
2025-07-24,4.74,4.89,4.74,4.88,29282560.0
2025-07-25,4.88,4.91,4.81,4.84,21630500.0
2025-07-28,4.87,4.95,4.84,4.94,31773800.0
2025-07-29,4.93,4.94,4.8,4.85,22774200.0
2025-07-30,4.83,4.95,4.83,4.91,32050700.0
2025-07-31,4.97,4.98,4.77,4.8,24879864.0
2025-08-01,4.81,4.84,4.74,4.83,17013700.0
2025-08-04,4.82,4.94,4.69,4.92,36836200.0
2025-08-05,4.92,4.96,4.87,4.92,23686800.0
2025-08-06,4.92,4.94,4.87,4.93,18710500.0
2025-08-07,4.93,4.93,4.88,4.9,11660500.0
2025-08-08,4.9,4.9,4.77,4.84,16980800.0
2025-08-11,4.82,5.0,4.8,4.91,19037000.0
2025-08-12,4.91,4.92,4.87,4.91,14086000.0
2025-08-13,4.92,4.93,4.84,4.86,17247700.0
