date,open,high,low,close,volume
2021-10-12,438.27,441.27,431.47,434.47,16448461.0
2021-10-15,443.07,451.27,435.67,446.87,29126835.0
2021-10-18,450.67,450.67,436.67,448.27,20730047.0
2021-10-19,446.67,451.27,441.87,450.27,15427765.0
2021-10-20,459.27,466.27,455.77,460.77,32724023.0
2021-10-21,460.77,463.77,451.27,456.77,16682945.0
2021-10-22,458.77,463.27,453.77,460.77,12743265.0
2021-10-25,456.77,461.27,452.27,456.27,12257502.0
2021-10-26,458.77,459.27,446.87,453.27,15309144.0
2021-10-27,442.07,442.87,433.47,438.27,18715924.0
2021-10-28,437.07,445.27,437.07,439.47,13673231.0
2021-10-29,438.07,439.67,432.27,432.27,16440521.0
2021-11-01,427.67,428.07,416.27,420.87,22649546.0
2021-11-02,429.87,433.27,411.47,415.27,33005998.0
2021-11-03,413.27,421.27,409.07,420.27,19362664.0
2021-11-04,426.47,433.07,425.07,432.07,16440685.0
2021-11-05,423.27,425.47,416.47,418.67,20019234.0
2021-11-08,411.27,415.27,404.67,415.07,22340751.0
2021-11-09,420.27,422.27,410.87,415.27,13607437.0
2021-11-10,420.27,438.07,417.27,434.87,30617440.0
2021-11-11,429.27,431.47,418.27,428.87,36035177.0
2021-11-12,439.07,442.67,433.07,436.47,23829660.0
2021-11-15,443.27,446.07,440.27,443.07,19394604.0
2021-11-16,448.67,460.27,445.47,453.77,28263210.0
2021-11-17,455.27,460.27,449.87,460.27,21444520.0
2021-11-18,453.27,454.77,444.07,448.07,19321893.0
2021-11-19,437.87,447.87,436.27,447.27,15212834.0
2021-11-22,449.27,452.77,442.27,445.67,14686779.0
2021-11-23,435.27,437.07,430.27,432.47,18725940.0
2021-11-24,424.47,432.07,418.67,423.47,26021973.0
2021-11-25,423.47,433.67,422.27,429.07,16939716.0
2021-11-26,423.87,423.87,411.27,414.67,32885505.0
2021-11-29,413.27,422.47,412.67,413.67,19509506.0
2021-11-30,408.87,411.47,400.27,410.67,35586276.0
2021-12-01,413.87,424.87,412.67,420.07,20341120.0
2021-12-02,418.27,424.87,414.87,424.87,17719866.0
2021-12-03,420.07,420.07,408.87,413.87,22496991.0
2021-12-06,400.07,410.87,398.87,399.07,30958158.0
2021-12-07,409.07,415.27,402.87,415.07,23235595.0
2021-12-08,418.87,421.67,416.27,418.27,15173269.0
2021-12-09,425.67,425.67,422.27,423.87,13353686.0
2021-12-10,422.27,425.27,412.87,414.67,15230505.0
2021-12-13,421.87,432.27,417.87,417.87,22239831.0
2021-12-14,411.27,416.87,408.67,411.07,13651585.0
2021-12-15,410.87,415.67,404.47,407.07,13371932.0
2021-12-16,403.27,406.47,399.47,403.87,21029463.0
2021-12-17,398.27,398.47,389.27,389.27,28284431.0
2021-12-20,388.67,390.87,380.27,381.27,20413076.0
2021-12-21,381.27,398.07,380.67,392.07,17226545.0
2021-12-22,401.27,402.07,391.67,394.27,13839639.0
2021-12-23,405.27,420.07,400.47,413.07,32952274.0
2021-12-24,419.87,419.87,410.27,411.47,9507329.0
2021-12-28,409.07,410.47,396.27,401.67,18949609.0
2021-12-29,394.87,396.87,391.67,396.07,9589399.0
2021-12-30,397.67,402.07,393.27,394.67,7664650.0
2021-12-31,413.27,413.27,406.47,408.07,9875225.0
2022-01-03,411.07,414.27,404.27,405.07,6021146.0
2022-01-04,406.67,409.27,396.67,401.27,13562081.0
2022-01-05,393.67,395.27,380.27,381.87,31926972.0
2022-01-06,372.27,388.47,372.27,388.27,22394447.0
2022-01-07,396.27,399.67,389.67,394.27,20813417.0
2022-01-10,399.27,408.47,393.67,404.47,19560762.0
2022-01-11,409.27,413.27,405.47,411.27,16405167.0
2022-01-12,423.07,432.07,420.47,432.07,28274536.0
2022-01-13,437.27,437.27,423.67,426.47,18308659.0
2022-01-14,413.27,425.47,413.27,424.67,13722780.0
2022-01-17,423.27,425.07,415.27,416.87,12682742.0
2022-01-18,419.07,422.27,402.07,404.07,23537795.0
2022-01-19,404.27,409.27,401.27,407.07,17490032.0
2022-01-20,406.67,436.67,406.67,436.27,29536303.0
2022-01-21,433.47,443.07,431.67,439.47,26820113.0
2022-01-24,434.67,438.27,430.47,434.27,14677184.0
2022-01-25,424.07,432.67,424.07,431.47,24998708.0
2022-01-26,434.67,441.27,430.67,438.27,21619270.0
2022-01-27,429.67,431.67,422.47,427.67,20507145.0
2022-01-28,427.67,428.67,420.27,424.67,15027473.0
2022-01-31,426.07,437.07,423.67,436.67,11429491.0
2022-02-04,447.67,447.67,435.67,443.67,15930509.0
2022-02-07,446.67,446.67,434.87,442.67,15382223.0
2022-02-08,439.27,440.67,433.67,434.67,18754239.0
2022-02-09,444.67,448.27,441.27,447.47,23365228.0
2022-02-10,452.67,452.67,440.47,449.07,18808693.0
2022-02-11,443.47,448.27,437.07,441.67,15523403.0
2022-02-14,434.87,437.27,430.07,436.67,12861260.0
2022-02-15,436.67,439.27,431.07,434.67,13889441.0
2022-02-16,441.67,441.67,435.87,440.87,12209598.0
2022-02-17,440.87,444.27,436.67,443.67,12923901.0
2022-02-18,443.67,447.47,432.67,434.67,24032950.0
2022-02-21,428.87,431.47,405.27,410.07,46042457.0
2022-02-22,396.87,409.87,396.87,409.47,30562929.0
2022-02-23,407.07,416.07,407.07,409.67,20241593.0
2022-02-24,400.87,404.27,388.27,392.47,33972108.0
2022-02-25,397.07,403.67,384.87,388.67,25527592.0
2022-02-28,384.67,390.07,379.07,385.87,26849319.0
2022-03-01,385.87,403.67,385.07,395.67,19308969.0
2022-03-02,391.67,399.47,387.47,388.07,14011686.0
2022-03-03,387.47,391.07,380.07,383.47,19870075.0
2022-03-04,367.67,370.87,364.67,367.87,41553093.0
2022-03-07,353.67,361.87,345.67,352.67,39878587.0
2022-03-08,353.67,361.07,345.07,347.87,32260710.0
2022-03-09,347.87,355.47,334.67,349.47,33209737.0
2022-03-10,360.07,363.47,345.87,349.67,24062703.0
2022-03-11,333.67,340.07,324.67,332.47,48435608.0
2022-03-14,317.67,324.27,294.67,296.47,66910165.0
2022-03-15,269.87,297.87,261.67,262.67,118398276.0
2022-03-16,279.87,335.47,275.07,331.67,107736861.0
2022-03-17,365.67,365.67,338.27,354.67,69692613.0
2022-03-18,344.67,357.47,335.67,345.67,37714558.0
2022-03-21,356.87,357.07,335.07,337.07,30703044.0
2022-03-22,334.67,353.67,326.67,352.67,31006056.0
2022-03-23,363.67,368.27,349.87,353.67,42256861.0
2022-03-24,337.67,346.27,329.67,330.67,46931459.0
2022-03-25,323.27,333.07,315.67,321.07,38297070.0
2022-03-28,322.67,337.27,318.67,331.07,26933320.0
2022-03-29,335.67,345.07,334.67,341.87,20901992.0
2022-03-30,347.67,353.27,344.87,345.27,26951872.0
2022-03-31,347.07,347.07,337.27,338.87,14589554.0
2022-04-01,331.67,343.47,326.87,343.47,14496674.0
2022-04-04,353.47,355.67,348.47,354.67,15665556.0
2022-04-06,347.67,349.67,344.67,345.67,17127923.0
2022-04-07,340.27,348.27,338.47,339.07,15874056.0
2022-04-08,334.67,336.87,330.67,334.27,19600870.0
2022-04-11,330.67,330.87,317.67,318.27,22788891.0
2022-04-12,328.47,337.27,323.27,331.07,26409818.0
2022-04-13,330.67,343.67,326.47,338.27,21642119.0
2022-04-14,343.47,343.67,337.27,339.07,15160373.0
2022-04-19,330.47,332.27,325.67,328.67,17741106.0
2022-04-20,329.27,333.47,326.27,326.67,10853604.0
2022-04-21,316.67,320.87,307.67,312.67,25738562.0
2022-04-22,299.47,307.67,298.87,305.27,28031299.0
2022-04-25,296.87,303.27,289.87,292.07,25788422.0
2022-04-26,296.87,306.27,295.27,300.47,27288328.0
2022-04-27,296.67,303.27,292.87,299.47,23408627.0
2022-04-28,305.27,305.27,295.87,304.47,21233188.0
2022-04-29,303.67,352.67,302.07,342.07,47467097.0
2022-05-03,343.67,349.47,330.07,344.67,25571291.0
2022-05-04,339.07,340.47,330.87,333.07,14101831.0
2022-05-05,340.47,342.67,331.07,331.07,21393922.0
2022-05-06,317.27,320.07,311.67,313.87,22923262.0
2022-05-10,296.67,310.07,294.67,305.87,28398736.0
2022-05-11,304.27,326.67,304.27,315.07,24348791.0
2022-05-12,307.47,316.87,306.47,308.87,20022898.0
2022-05-13,314.67,321.87,314.67,319.07,19487577.0
2022-05-16,324.67,327.07,311.87,314.67,15558023.0
2022-05-17,319.07,334.07,319.07,333.07,30117051.0
2022-05-18,339.87,339.87,322.67,330.27,28343560.0
2022-05-19,306.67,308.27,298.67,306.47,60149532.0
2022-05-20,314.27,321.07,312.27,318.47,28325659.0
2022-05-23,315.87,316.87,308.27,313.07,17034672.0
2022-05-24,309.07,313.87,302.67,304.27,19699960.0
2022-05-25,301.07,306.07,300.27,300.27,21553207.0
2022-05-26,301.27,302.07,296.27,300.47,18496371.0
2022-05-27,311.87,314.07,304.47,308.07,20760810.0
2022-05-30,312.07,317.47,310.67,316.27,22298377.0
2022-05-31,315.27,329.27,312.67,328.67,64756621.0
2022-06-01,328.27,332.47,324.07,326.67,26920272.0
2022-06-02,321.27,326.87,320.07,325.27,14182488.0
2022-06-06,328.27,335.67,322.27,333.87,23900121.0
2022-06-07,338.27,341.07,329.27,333.87,27086986.0
2022-06-08,341.27,357.67,339.47,357.67,47476909.0
2022-06-09,370.27,373.07,355.27,361.07,39147100.0
2022-06-10,350.67,364.47,349.27,362.67,29755765.0
2022-06-13,349.87,353.07,339.87,343.27,24938012.0
2022-06-14,333.67,344.67,333.67,342.27,16307664.0
2022-06-15,342.27,348.47,341.47,346.07,21242678.0
2022-06-16,346.27,348.67,330.27,333.87,22143706.0
2022-06-17,328.07,340.87,328.07,335.67,19483010.0
2022-06-20,336.27,340.27,330.87,337.07,11639693.0
2022-06-21,338.07,347.27,336.47,347.27,15013276.0
2022-06-22,347.07,347.07,336.27,336.27,13714137.0
2022-06-23,338.07,345.67,335.27,341.27,12620777.0
2022-06-24,345.67,352.27,340.47,350.47,18197838.0
2022-06-27,353.27,366.47,340.87,344.47,57400982.0
2022-06-28,339.07,339.67,322.67,332.07,58585070.0
