date,open,high,low,close,volume
2021-11-12,29.9,30.57,29.52,30.28,41305428.0
2021-11-15,30.44,30.53,29.14,29.92,38490900.0
2021-11-16,29.65,30.28,29.6,30.09,26448367.0
2021-11-17,30.31,30.4,28.7,29.16,42850994.0
2021-11-18,32.25,32.64,31.21,31.56,78171075.0
2021-11-19,32.13,32.97,31.79,32.87,53386700.0
2021-11-22,33.4,34.51,31.79,31.84,75433625.0
2021-11-23,31.42,32.24,30.77,31.63,53216270.0
2021-11-24,31.35,32.74,30.82,32.56,43516226.0
2021-11-26,32.48,32.59,31.24,31.39,28306886.0
2021-11-29,32.25,33.29,31.92,33.26,45496398.0
2021-11-30,33.05,33.23,31.75,32.56,62206647.0
2021-12-01,33.1,33.17,31.27,31.33,48580204.0
2021-12-02,31.1,32.36,30.92,32.01,47289233.0
2021-12-03,31.89,32.02,30.02,30.59,54432505.0
2021-12-06,29.78,30.14,27.94,29.93,65893845.0
2021-12-07,30.85,32.34,30.54,32.31,59305348.0
2021-12-08,31.89,32.18,31.31,31.71,47555145.0
2021-12-09,31.62,32.09,30.32,30.38,48850716.0
2021-12-10,31.04,31.2,29.76,30.09,48882509.0
2021-12-13,30.14,30.19,28.02,28.06,59834409.0
2021-12-14,27.6,28.58,27.15,28.24,66703537.0
2021-12-15,28.3,30.39,27.75,30.35,69830697.0
2021-12-16,31.04,31.05,27.99,28.29,70736595.0
2021-12-17,27.89,28.82,27.66,27.7,71662239.0
2021-12-20,27.21,28.05,27.05,27.62,46184676.0
2021-12-21,28.27,29.02,27.31,28.97,52438494.0
2021-12-22,28.79,29.45,28.35,29.3,39518438.0
2021-12-23,29.65,29.95,29.33,29.54,34302174.0
2021-12-27,29.56,30.98,29.54,30.84,40368587.0
2021-12-28,31.2,31.22,29.91,30.22,42059121.0
2021-12-29,30.17,30.44,29.26,29.9,34314028.0
2021-12-30,29.72,30.35,29.44,29.48,30886422.0
2021-12-31,29.57,29.93,29.23,29.31,26652991.0
2022-01-03,29.71,30.6,29.68,30.02,39240294.0
2022-01-04,30.17,30.36,28.25,29.19,52715440.0
2022-01-05,28.85,29.31,27.44,27.51,49806398.0
2022-01-06,27.54,28.34,26.97,28.08,45418637.0
2022-01-07,28.04,28.32,26.96,27.15,40993851.0
2022-01-10,26.49,27.37,25.55,27.3,59468178.0
2022-01-11,27.23,27.97,26.75,27.72,40408929.0
2022-01-12,27.97,28.5,27.51,27.9,38341354.0
2022-01-13,28.28,28.38,26.41,26.48,53886838.0
2022-01-14,26.21,27.1,26.12,26.85,39583339.0
2022-01-18,26.17,26.54,25.68,25.81,42530617.0
2022-01-19,25.99,26.45,24.96,24.98,48831451.0
2022-01-20,25.22,25.49,23.99,24.07,43518073.0
2022-01-21,23.42,24.74,23.18,23.29,71895784.0
2022-01-24,22.25,23.3,20.82,23.29,91581063.0
2022-01-25,22.47,22.86,21.92,22.25,66461636.0
2022-01-26,23.16,23.97,22.22,22.69,75595873.0
2022-01-27,23.49,23.91,21.6,21.87,57335272.0
2022-01-28,21.94,22.78,21.22,22.76,54377425.0
2022-01-31,23.1,24.42,22.97,24.4,56467968.0
2022-02-01,25.02,25.06,23.81,24.55,51892517.0
2022-02-02,25.7,25.73,24.47,25.15,54341941.0
2022-02-03,24.37,24.99,23.7,23.86,41017778.0
2022-02-04,23.89,24.55,23.55,24.23,35482850.0
2022-02-07,24.29,25.09,24.12,24.64,37686750.0
2022-02-08,24.27,25.14,23.9,25.02,41035864.0
2022-02-09,25.53,26.63,25.26,26.61,52428166.0
2022-02-10,25.9,26.83,25.51,25.73,51319972.0
2022-02-11,25.83,26.06,23.69,23.87,60547198.0
2022-02-14,23.85,24.79,23.67,24.18,44042443.0
2022-02-15,24.86,26.45,24.7,26.4,70175280.0
2022-02-16,26.17,26.49,25.46,26.42,73267633.0
2022-02-17,25.54,25.69,24.08,24.42,81059508.0
2022-02-18,24.58,24.9,23.02,23.56,76125491.0
2022-02-22,22.95,23.98,22.92,23.31,63342244.0
2022-02-23,23.72,24.07,22.22,22.31,56651077.0
2022-02-24,20.94,23.72,20.82,23.67,73580063.0
2022-02-25,23.64,24.13,23.3,24.07,52886551.0
2022-02-28,23.91,24.58,23.62,24.3,47731861.0
2022-03-01,24.21,24.29,23.05,23.39,41205598.0
2022-03-02,23.68,24.33,23.34,24.14,38964185.0
2022-03-03,24.18,24.25,23.39,23.64,36509504.0
2022-03-04,23.31,23.6,22.41,22.86,43201070.0
2022-03-07,22.74,22.96,21.26,21.28,45082089.0
2022-03-08,21.24,22.3,20.58,21.44,55746719.0
2022-03-09,22.31,23.14,22.17,22.94,49274195.0
2022-03-10,22.46,22.71,21.81,22.58,42806565.0
2022-03-11,22.95,23.07,21.97,22.03,36720857.0
2022-03-14,21.8,22.19,21.09,21.26,38535424.0
2022-03-15,21.45,22.96,21.25,22.9,49199569.0
2022-03-16,23.42,24.52,23.1,24.42,67142174.0
2022-03-17,24.04,24.76,23.83,24.68,47194119.0
2022-03-18,24.72,26.48,24.54,26.37,73071856.0
2022-03-21,26.42,27.06,25.88,26.65,59172708.0
2022-03-22,26.64,27.15,25.99,26.44,54700710.0
2022-03-23,26.04,26.52,25.49,25.55,50211986.0
